infected,recovered,deaths,chinfected,cinfected,Infection_Rate_china
78928,36329,2790,0.7795748613678374,2.3233102640240666e-05,5.521933771314133e-08
79356,39320,2837,0.7268602540834845,3.0316365640314042e-05,5.148542343973478e-08
79932,42162,2872,1.5158798283261803,4.079959488042263e-05,1.0737375500540411e-07
80136,44854,2914,0.973384030418251,1.4449856520149684e-05,6.894735087523892e-08
80261,47450,2947,0.7901600474214582,8.854078750091717e-06,5.5969114280366377e-08
80386,50001,2983,0.6429463171036205,8.854078750091717e-06,4.5541578589735185e-08
80537,52292,3015,0.34258210645526616,1.0695727130110795e-05,2.4265991591417847e-08
80690,53944,3044,0.3606770833333333,1.0837392390112263e-05,2.5547706393493808e-08
80770,55539,3072,0.3818454613653413,5.666610400058699e-06,2.7047118282350692e-08
80823,57388,3100,0.4242718446601942,3.7541293900388884e-06,3.005229059254432e-08
80860,58804,3123,0.5338842975206611,2.6208073100271483e-06,3.7816428909482645e-08
80887,60181,3139,0.3555956678700361,1.912481010019811e-06,2.5187776372102072e-08
80921,61644,3161,0.2966601178781925,2.4083094200249474e-06,2.1013216365640066e-08
80932,62901,3172,0.2494279176201373,7.791589300080711e-07,1.766763540064068e-08
80945,64196,3180,0.2631578947368421,9.208241900095387e-07,1.8640165789666774e-08
80977,65660,3193,0.45685279187817257,2.26664416002348e-06,3.2360084771908815e-08
81003,67017,3204,0.543046357615894,1.8416483800190773e-06,3.846540172225276e-08
81033,67910,3219,0.926605504587156,2.1249789000220124e-06,6.56339048630652e-08
81058,68798,3232,1.3294117647058823,1.7708157500183436e-06,9.416573164803427e-08
81102,69755,3243,1.3888888888888888,3.1166357200322846e-06,9.837865277879686e-08
81156,70535,3251,1.8658536585365855,3.824962020039622e-06,1.3216332183063734e-07
81250,71266,3255,2.1485148514851486,6.658267220068972e-06,1.5218495752632892e-07
81305,71857,3262,2.185840707964602,3.895794650040356e-06,1.5482884610779853e-07
81435,72362,3277,2.664,9.208241900095387e-06,1.886981263219547e-07
81493,72814,3279,2.2026143790849675,4.108292540042557e-06,1.5601696934802139e-07
81587,73280,3286,1.5529953917050692,6.658267220068972e-06,1.1000274797348972e-07
81658,73773,3290,1.4291497975708503,5.029116730052095e-06,1.0123043882695956e-07
81781,74181,3299,1.039039039039039,8.71241349009025e-06,7.359786780857019e-08
81872,74720,3304,1.1246290801186944,6.4457693300667704e-06,7.966043552011303e-08
81964,75100,3307,1.1186943620178043,6.516601960067504e-06,7.924006382871402e-08
82058,75582,3313,1.13314447592068,6.658267220068972e-06,8.026360340026486e-08
82139,75923,3318,1.0346820809248556,5.737443030059433e-06,7.328925300653954e-08
83786,76206,3323,5.050131926121372,0.00011666134161120848,3.5771412617784794e-07
84002,76405,3332,5.405835543766578,1.529984808015849e-05,3.8290954891643335e-07
84129,76565,3339,5.1775,8.995744010093185e-06,3.6673594182879893e-07
